Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,TeamName,Year
V Kohli,14,14,1,359,73,27.61,294,122.10,0,2,3,23,16,Royal Challengers Bangalore,2014
DS Kulkarni,8,2,2,35,28,0,25,140.00,0,0,0,1,2,Rajasthan Royals,2014
B Kumar,14,2,1,1,1,1.00,4,25.00,0,0,0,0,0,Sunrisers Hyderabad,2014
P Kumar,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Mumbai Indians,2014
CA Lynn,2,2,0,58,45,29.00,49,118.36,0,0,0,5,3,Kolkata Knight Riders,2014
BB McCullum,14,14,1,405,71,31.15,333,121.62,0,3,0,32,19,Chennai Super Kings,2014
NJ Maddinson,2,2,0,16,12,8.00,14,114.28,0,0,0,3,0,Royal Challengers Bangalore,2014
VS Malik,1,1,1,1,1,0,2,50.00,0,0,0,0,0,Rajasthan Royals,2014
SL Malinga,10,1,0,2,2,2.00,4,50.00,0,0,0,0,0,Mumbai Indians,2014
Mandeep Singh,3,3,0,24,21,8.00,26,92.30,0,0,1,2,0,Kings XI Punjab,2014
M Manhas,12,5,3,35,13,17.50,23,152.17,0,0,0,3,1,Chennai Super Kings,2014
SE Marsh,2,2,0,70,40,35.00,52,134.61,0,0,0,7,3,Kings XI Punjab,2014
GJ Maxwell,16,16,0,552,95,34.50,294,187.75,0,4,2,48,36,Kings XI Punjab,2014
DA Miller,16,16,6,446,66,44.60,299,149.16,0,3,0,34,21,Kings XI Punjab,2014
A Mishra,10,2,1,4,4,4.00,7,57.14,0,0,1,0,0,Sunrisers Hyderabad,2014
Mohammed Shami,12,4,2,3,1,1.50,7,42.85,0,0,1,0,0,Delhi Daredevils,2014
JA Morkel,7,5,2,45,16,15.00,41,109.75,0,0,0,1,3,Royal Challengers Bangalore,2014
M Morkel,12,2,2,4,4,0,3,133.33,0,0,0,0,0,Kolkata Knight Riders,2014
M Muralitharan,5,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2014
S Nadeem,11,3,1,7,3,3.50,19,36.84,0,0,0,0,0,Delhi Daredevils,2014
